idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
7735,157.491434,J091321.21+300033.0,X,138.3383889,30.0091667,
7735,157.597617,SDSS J091334.21+300237.1,QX,138.3926108,30.0436385,1.6410000324249268
7735,177.755237,SDSS J091325.26+295734.2,QX,138.3552625,29.9595175,2.63100004196167
18389,125.135314,LAMOSTJ122209.85+282635.6,Q,185.5410669,28.4432313,1.7309999465942383
7738,116.995512,SDSS J110020.83+455500.7,Q,165.0867935,45.9168826,1.6890000104904175
7738,168.66569,SDSS J110009.81+455749.7,Q,165.0409012,45.9638281,1.440000057220459
7738,178.369471,SDSS J110026.59+455522.4,Q,165.1107875,45.9229296,1.2970000505447388
18390,161.391562,SDSS J124637.31+504938.8,Q,191.6555071,50.8274331,1.1829999685287476
18392,95.893165,2QZ J130734.3-005743,Q,196.893067,-0.9618323,1.628999948501587
18393,22.428736,SDSS J132412.23+153418.2,Q,201.0509634,15.5717331,0.7850000262260437
18393,134.475098,SDSS J132411.31+153157.0,Q,201.0470946,15.532523,3.1689999103546143
7743,170.084721,WISEA J231255.81+054546.8,q,348.2325951,5.7630599,0.699999988079071
7743,176.37554,SDSS J231255.46+054538.1,Q,348.2311362,5.760581,2.572999954223633
18401,166.048787,SDSS J231419.96-015918.5,Q,348.5831925,-1.9884733,2.3970000743865967
7750,148.527785,WISEA J170352.31+615953.4,q,255.9679847,61.998186,0.800000011920929
18405,174.193842,2QZ J022114.8-315601,K,35.31175,-31.9335834,0.5099999904632568
18406,18.435928,J025751.74+060259.8,X,44.4655834,6.0499445,
18406,144.383945,J025746.07+060100.5,R2,44.441979,6.0168129,1.399999976158142
18409,116.351286,2SLAQ J091723.06-003559.5,N,139.3460693,-0.5998521,0.3070000112056732
18409,169.182376,2SLAQ J091738.08-003533.7,Q,139.4086763,-0.5926861,1.9459999799728394
18411,144.390907,SDSS J095601.26+335951.0,Q,149.0052762,33.9975153,2.365000009536743
18412,139.185963,WISEA J103250.90-125744.9,q,158.2120853,-12.9625111,0.4000000059604645
7759,136.293376,WISEA J115814.21-214621.6,qR,179.5592108,-21.7726808,0.699999988079071
18414,93.03799,J125911.54+275850.5,X,194.7981183,27.9807089,1.399999976158142
18414,168.822865,J125918.30+275902.6,X,194.82625,27.9840556,
18415,108.712152,SDSS J131635.06+512407.7,Q,199.1461007,51.4021432,1.9700000286102295
7760,0.290233,ESO 510-46,NR,210.4934718,-25.538791,0.020999999716877937
18417,0.846662,IRAS 14146+40260,NR,214.1575404,40.2163091,0.019999999552965164
