idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
80985,97.949314,J005531.99-075352.4,R,,,VL0J005532.00-075352.3
80985,175.513611,J005540.45-075319.0,R,,,FIRST J005540.4-075317
51007,94.159481,WISEA J040132.75+234506.3,q,1.2000000476837158,,
80987,108.888677,SDSS J010731.28-081248.0,Q,3.078000068664551,,
31038,166.069524,J120415.02-212617.8,X,1.5,4XMM J120415.0-212618,
60989,110.370453,J174412.16+263913.6,R,1.2999999523162842,,VL0J174412.16+263913.7
21059,139.59176,SDSS J114019.77+231821.9,Q,2.9709999561309814,,
21059,158.838376,SDSS J114024.03+231702.8,Q,2.4149999618530273,,
41004,151.522504,WISEA J203721.59-724747.5,q,1.2999999523162842,,
71010,30.609124,WISEA J042517.40-752843.5,q,0.5,,
31040,100.903379,WISEA J140708.90-263038.1,q,0.5,,
21061,57.387793,WISEA J131720.57+270431.7,q,2.0,,
1036,91.218745,WISEA J122054.97+141526.0,q,0.4000000059604645,,
90979,42.891183,SDSS J130749.13+121421.1,Q,2.674999952316284,,
21062,93.348568,SDSS J131536.52+294620.8,Q,2.559999942779541,,
31042,178.197775,WISEA J135914.46-240748.3,q,3.200000047683716,,
1037,75.453864,WISEA J122054.97+141526.0,q,0.4000000059604645,,
60992,177.361381,WISEA J180317.22+331746.8,q,1.399999976158142,,
51014,128.607041,WISEA J105739.73-103533.9,q,0.800000011920929,,
21063,59.337144,SDSS J132246.58+294529.2,Q,0.8339999914169312,,
21063,75.857703,SDSS J132245.75+294647.1,Q,1.7020000219345093,,
21064,134.211722,WISEA J132136.33-183130.7,q,1.0,,
60994,148.396416,WISEA J175559.24+332416.5,q,2.5,,
41011,150.034238,WISEA J023801.52-243150.4,q,0.5,,
71015,69.828992,WISEA J051102.07+090628.5,q,1.399999976158142,,
1040,87.377495,SDSS J125007.28+131441.4,Q,2.2639999389648438,,
51018,175.475699,2QZ J114230.3-025122,Q,1.2389999628067017,,
41014,122.100313,WISEA J033714.92+005758.2,q,2.299999952316284,,
41014,175.467069,SDSS J033732.58+005547.6,Q,0.625,,
60998,89.401529,SDSS J003619.93+011805.8,Q,1.284999966621399,,
60998,147.414254,SDSS J003633.44+012008.4,Q,1.1950000524520874,,
51020,50.18798,WISEA J114305.71-340544.3,q,0.10000000149011612,,
60999,45.022086,SDSS J003619.69+003416.1,Q,1.781999945640564,,
60999,64.214489,SDSS J003618.57+003428.9,Q,1.8669999837875366,,
31049,118.747379,SDSS J015848.99+315735.6,Q,1.7899999618530273,,
41016,46.103174,SDSS J110741.61+281819.1,Q,1.406000018119812,,
41016,118.419099,SDSS J110743.25+282057.5,Q,1.7510000467300415,,
80999,135.644961,WISEA J060525.29-131710.7,q,1.399999976158142,,
1046,179.94233,WISEA J095548.05-281539.1,q,0.30000001192092896,,
61001,42.129999,WISEA J012321.78+412356.4,q,0.800000011920929,,
71022,118.530074,SDSS J084706.07+520753.0,Q,1.6859999895095825,,
51024,99.819584,WISEA J125557.47+263125.2,q,2.0,,
51024,158.343891,SDSS J125554.28+263324.6,Q,3.315999984741211,,
11033,141.025291,2QZ J133156.4+014958,QX,1.375,4XMM J133156.4+014957,
11033,166.129471,J133211.92+015317.0,X,,4XMM J133211.8+015319,
21073,152.805732,J224250.66+324839.0,R,,,VL0J224250.64+324838.8
51025,95.003863,WISEA J124707.18+255918.6,q,1.100000023841858,,
81002,147.303163,WISEA J121646.84-293453.3,q,1.2999999523162842,,
90994,69.158199,WISEA J152438.27-393746.4,q,1.0,,
71024,119.26912,WISEA J123258.13-352242.4,q,1.399999976158142,,
21074,99.479323,SDSS J224644.81+315828.8,Q,2.253999948501587,,
21074,168.330434,SDSS J224626.94+320050.5,N,0.17100000381469727,,
11035,103.934966,SDSS J132953.03+021220.3,Q,2.4089999198913574,,
51026,170.391403,SDSS J124912.42+284821.6,Q,1.7200000286102295,,
41021,174.25472,SDSS J111944.82+294626.9,Q,1.5360000133514404,,
21075,155.833628,SDSS J225641.07+333105.3,Q,2.750999927520752,,
1050,68.726454,WISEA J041421.85-540045.7,q,0.4000000059604645,,
51027,160.623743,PGC 1756052,A,0.08500000089406967,,
41022,61.017489,SDSS J112043.89+294038.1,Q,2.381999969482422,,
41022,160.386687,PGC 1872679,N,0.13899999856948853,,
71027,59.551101,J122009.30-355743.1,X,,4XMM J122009.2-355741,
71027,166.05636,ESO 380-15,ARX,0.05700000002980232,4XMM J121958.9-355735,SUMSS J121958.9-355735
11038,130.513944,WISEA J182431.18-633229.4,q,1.7999999523162842,,
31056,60.95641,SDSS J083903.19+475915.4,Q,1.9730000495910645,,
41023,57.44501,SDSS J111336.26+271040.2,Q,2.6459999084472656,,
41023,140.738684,LAMOSTJ111348.26+271019.6,Q,0.9929999709129333,,
41023,159.79774,SDSS J111335.77+270710.5,Q,1.0579999685287476,,
11039,158.452108,WISEA J182655.41-641822.1,q,0.30000001192092896,,
90999,112.998973,WISEA J160500.07-035529.7,q,1.0,,
41024,139.078139,WISEA J124942.87-373140.4,q,0.8999999761581421,,
1053,106.775104,WISEA J031534.16-245533.9,q,1.0,,
11040,148.308944,SDSS J090816.15+264748.0,Q,2.874000072479248,,
71029,148.02668,SDSS J135424.90+243006.3,Q,1.8910000324249268,,
71029,161.789207,SDSS J135437.03+242628.6,Q,2.1419999599456787,,
31058,61.354919,WISEA J084034.11+481644.7,q,0.20000000298023224,,
61008,109.039977,SDSS J021728.28+051432.8,Q,0.593999981880188,,
11041,120.435711,SDSS J090745.92+245938.4,Q,1.4079999923706055,,
31059,118.566527,SDSS J084716.75+483906.1,Q,1.1019999980926514,,
71030,126.413696,WISEA J140313.11+245441.3,q,1.2000000476837158,,
21080,128.871371,SDSS J132318.67+310841.7,Q,2.2160000801086426,,
21080,133.337736,SDSS J132312.85+311023.0,Q,2.0799999237060547,,
