pair_id,field_kind,field_index,is_catalogued_companion,name,type,z,offset_arcmin
NGC1073-QSOs,control,6,False,SDSS J024950.54+011054.3,A,0.48500001430511475,5.6886063568338905
NGC1073-QSOs,control,6,False,SDSS J024958.84+011338.7,Q,1.1759999990463257,5.288640259290009
NGC1073-QSOs,control,7,False,SDSS J023755.45+005205.2,Q,1.8289999961853027,2.5915355165458602
NGC1073-QSOs,control,7,False,SDSS J023755.56+005230.8,Q,1.5570000410079956,2.8375126594403586
NGC1073-QSOs,control,7,False,SDSS J023759.17+004928.6,Q,1.4459999799728394,1.6390585708166812
NGC1073-QSOs,control,7,False,SDSS J023805.20+004452.5,Q,2.00600004196167,5.735370323123695
NGC1073-QSOs,control,7,False,SDSS J023811.16+004809.8,Q,3.2960000038146973,3.0298039192776485
NGC1073-QSOs,control,7,False,SDSS J023812.29+004640.4,Q,1.9989999532699585,4.4471917576975795
NGC1073-QSOs,control,7,False,SDSS J023813.82+005023.9,Q,3.177999973297119,2.4766776495754304
NGC1073-QSOs,control,8,False,SDSS J024502.80-000419.9,Q,0.8650000095367432,4.610769580468801
NGC1073-QSOs,control,8,False,SDSS J024507.22-000232.6,Q,0.5669999718666077,3.7236573107342323
NGC1073-QSOs,control,8,False,SDSS J024510.19-000628.2,Q,2.125,3.7769086647532837
NGC1073-QSOs,control,8,False,SDSS J024510.37-000053.6,Q,2.9830000400543213,4.0127470338635245
NGC1073-QSOs,control,8,False,SDSS J024523.52-000744.3,QR,1.5440000295639038,3.9157362775201534
NGC1073-QSOs,control,8,False,SDSS J024525.70-000153.0,Q,2.9820001125335693,2.2879628617862973
NGC1073-QSOs,control,8,False,SDSS J024528.78-000801.3,Q,1.6119999885559082,4.571858449427442
NGC1073-QSOs,control,8,False,SDSS J024533.63-000705.4,Q,1.0529999732971191,4.486376599997054
NGC1073-QSOs,control,8,False,1WGA J0245.5-0007,QX,0.6539999842643738,4.987088418678111
NGC1073-QSOs,control,8,False,SDSS J024537.29-000454.8,Q,1.6959999799728394,4.170755355704321
NGC1073-QSOs,control,8,False,SDSS J024539.56-000010.0,Q,0.9819999933242798,5.906553449637767
NGC1073-QSOs,control,8,False,SDSS J024540.97-000220.7,Q,1.7289999723434448,5.184833374845771
NGC1073-QSOs,control,9,False,SDSS J024438.58+024858.8,Q,1.1660000085830688,2.3742112066542633
NGC1073-QSOs,control,9,False,SDSS J024446.84+025012.6,Q,1.1169999837875366,1.806021691192715
NGC1073-QSOs,control,9,False,SDSS J024451.60+024608.5,Q,1.4290000200271606,5.776787549053336
NGC1073-QSOs,control,10,False,US 3204,Q,0.9539999961853027,2.5488719588609383
NGC1073-QSOs,control,10,False,SDSS J024928.88+011014.8,Q,1.378999948501587,2.226759150943816
NGC1073-QSOs,control,10,False,SDSS J024932.16+011506.3,Q,1.8530000448226929,4.577417244486154
