id,ra_deg,dec_deg,cz_kms,glat_deg
14033877-3358422,210.91154,-33.97839,4126.0,26.54189266379015
04035428-4320558,60.97617,-43.34885,898.0,-48.165802589566816
03094551-2034454,47.43964,-20.5793,1651.0,-57.80897977360991
12251781-3945347,186.32426,-39.75972,3378.0,22.83536763812258
19424057-1019255,295.6691,-10.3237,1671.0,-16.01227643330801
20071948-4822129,301.83115,-48.37022,2720.0,-32.210843047210055
03451709+7638177,56.32115,76.6383,2536.0,17.118876471303714
04082413-4753493,62.10057,-47.89704,1212.0,-46.70971129442174
07322048+8542319,113.08536,85.70886,1905.0,27.80914089675417
11544010-1358299,178.6671,-13.97504,1738.0,46.649283875643775
03040796-2604105,46.03325,-26.06963,1649.0,-60.40433360688449
10505331+1324437,162.72208,13.41214,841.0,58.69995998960813
11491320-2916360,177.30507,-29.27674,1684.0,31.660680975407537
13130099-1931058,198.25421,-19.5183,2687.0,43.06137402293526
04095185-5607063,62.466,-56.11845,764.0,-44.43300624934028
11244363+3845460,171.18182,38.76278,2049.0,68.49326628747075
14535765+0332401,223.49016,3.54451,1677.0,52.422876261341685
09441604-2116418,146.06685,-21.27829,2296.0,23.722561358464013
12365340+0714479,189.22249,7.24663,1730.0,69.82093447289027
12062311+5242394,181.59631,52.71095,846.0,63.07226920247534
03443191-4438413,56.13298,-44.64483,1168.0,-51.39397787609532
20181914-7051317,304.57977,-70.85881,4010.0,-32.60003049914496
23190480-0829065,349.77002,-8.48514,2214.0,-61.28433442694848
17322430+0703369,263.10126,7.06027,1665.0,20.77059605927018
13554002+4027423,208.91676,40.46177,2539.0,71.19587135609181
13041709-3031347,196.07124,-30.52628,3197.0,32.26383968217287
13165848-1638054,199.2437,-16.63485,1744.0,45.80057477625669
12180830+2810310,184.53465,28.17532,1071.0,82.55359957330244
10233060+1951538,155.87753,19.86495,1157.0,55.44540504378143
13294883-1757593,202.45346,-17.96649,1501.0,43.95520634240796
12245542+1142154,186.23096,11.70427,943.0,73.3671618328321
13085721-1530586,197.23845,-15.51629,1297.0,47.14415874078125
23395386-1217348,354.97446,-12.29301,1766.0,-67.61462982190477
11460778+4729401,176.53242,47.4945,906.0,65.95660058802267
11491536+5605036,177.31404,56.08435,1176.0,58.96192480948223
13202496-2036396,200.10402,-20.61099,1818.0,41.74800858961609
13152396-1623079,198.84987,-16.38553,2782.0,46.099601516097415
00520430+4733019,13.01798,47.55051,627.0,-15.321101037972834
03350135-2455592,53.75563,-24.93311,1405.0,-53.34696338177816
14582270-0105278,224.59462,-1.09108,1905.0,48.42647268682873
04134070-3138434,63.41961,-31.64541,1384.0,-46.10008067354064
12285901+0334141,187.24588,3.5706,882.0,65.83893567466968
12235781+1641360,185.99094,16.69335,1200.0,77.78030891593599
10144211-2852194,153.67546,-28.87206,1082.0,22.577075232665372
03393085-1841172,54.87851,-18.68817,530.0,-50.57323058488094
22023982-2048461,330.66592,-20.81282,2620.0,-51.11122624207192
12580124+0134320,194.50517,1.57558,1108.0,64.39862764620024
12281542+2837130,187.06429,28.6203,661.0,84.66504796420405
02341338+2918404,38.55573,29.31127,1543.0,-28.42905000256277
12030968+4431525,180.79036,44.53126,700.0,70.0853274202762
03224428-3706136,50.68454,-37.10379,1941.0,-56.69323187207418
03194107-1924408,49.92116,-19.41136,1620.0,-55.222616342015385
12214247+1435519,185.42699,14.59776,1098.0,75.68345471477613
07345116-6917029,113.71317,-69.28413,1367.0,-21.54437498857894
12093608+4232031,182.40031,42.53419,958.0,72.39633073027711
13380303-1753025,204.51266,-17.88403,1355.0,43.590329745406486
13575063-4355528,209.46098,-43.9313,2425.0,17.329564901862426
12372503+7411307,189.35431,74.19189,1980.0,42.90087738226912
05420477+6922421,85.5199,69.37838,3934.0,19.4721611261194
12273730-3920161,186.90549,-39.33781,2934.0,23.302088182233938
14210369+0316157,215.26534,3.27099,1487.0,57.938362174348576
02333434-3902422,38.39312,-39.04506,1933.0,-65.63552208845888
12194528+1247540,184.93866,12.79833,1009.0,73.86438470180711
12435663+1307348,190.98599,13.12635,1048.0,75.88880123834382
09582458-2655356,149.60246,-26.9266,2580.0,21.80233361223178
04040271-5406002,61.01133,-54.10006,1175.0,-45.85109369203641
03195121-2603382,49.96339,-26.06059,1710.0,-56.92545062494644
10271836+2830267,156.82657,28.5074,1314.0,58.22057121798649
11323494+5304041,173.14558,53.06783,993.0,60.21695899334906
12125210+0117588,183.21712,1.29968,1256.0,62.564679969909086
11294442-3623285,172.43512,-36.3913,2977.0,23.63153599651526
02082114+1059415,32.08808,10.99492,1735.0,-47.55675652294911
12355768+2757351,188.99037,27.95976,807.0,86.47028811608193
12320619+1110351,188.02586,11.17643,1342.0,73.41312496020494
11182527+5847104,169.60532,58.78622,1704.0,54.46177908394938
21441607-7506408,326.06717,-75.11132,2381.0,-36.67221928006563
13185480-2102207,199.72836,-21.0391,668.0,41.375805016800754
12362699+1126215,189.11247,11.43929,1142.0,73.92067416356606
12592713+1410157,194.86308,14.17105,1988.0,76.90867397077949
14324685+4927281,218.19521,49.45784,2096.0,60.385654165963736
12060116+4728420,181.50484,47.47836,555.0,67.79110683794987
02455992-0734431,41.49969,-7.57864,1435.0,-56.554495612792984
11483820+4842388,177.15913,48.71082,967.0,65.22734491089892
20032702-5556498,300.86264,-55.94717,4434.0,-32.12842670438307
04173578-6247012,64.39906,-62.78367,1304.0,-41.19825869904955
09423523+5851044,145.6468,58.85121,1337.0,44.66450454352671
12202152+0523111,185.08968,5.3864,2711.0,67.0326779376377
10470999+7250228,161.79169,72.83967,2837.0,41.346132403848
