pair_id,profile,x,a_int_x,phi_x
NGC4258-QSOs,exponential,0.6482412060301508,0.7326989067568195,0.31102042989209727
NGC4258-QSOs,exponential,0.6532663316582915,0.7322688722651631,0.31160752062564956
NGC4258-QSOs,exponential,0.6582914572864321,0.7318473953885793,0.31218326300012883
NGC4258-QSOs,exponential,0.6633165829145728,0.731434305831947,0.3127478700300145
NGC4258-QSOs,exponential,0.6683417085427136,0.73102943668899,0.31330155097474993
NGC4258-QSOs,exponential,0.6733668341708543,0.7306326243748396,0.31384451139558783
NGC4258-QSOs,exponential,0.678391959798995,0.7302437085599383,0.3143769532119433
NGC4258-QSOs,exponential,0.6834170854271356,0.7298625321052605,0.31489907475724055
NGC4258-QSOs,exponential,0.6884422110552764,0.7294889409988214,0.3154110708342453
NGC4258-QSOs,exponential,0.6934673366834171,0.7291227842934487,0.31591313276987204
NGC4258-QSOs,exponential,0.6984924623115578,0.7287639140457942,0.3164054484694552
NGC4258-QSOs,exponential,0.7035175879396985,0.7284121852565574,0.31688820247047966
NGC4258-QSOs,exponential,0.7085427135678392,0.7280674558119,0.3173615759957584
NGC4258-QSOs,exponential,0.7135678391959799,0.7277295864260258,0.3178257470060541
NGC4258-QSOs,exponential,0.7185929648241206,0.7273984405849023,0.31828089025213707
NGC4258-QSOs,exponential,0.7236180904522613,0.7270738844911042,0.3187271773262731
NGC4258-QSOs,exponential,0.7286432160804021,0.7267557870097525,0.3191647767131386
NGC4258-QSOs,exponential,0.7336683417085427,0.7264440196155302,0.3195938538401574
NGC4258-QSOs,exponential,0.7386934673366834,0.7261384563407534,0.32001457112725373
NGC4258-QSOs,exponential,0.7437185929648241,0.7258389737244738,0.32042708803602277
NGC4258-QSOs,exponential,0.7487437185929648,0.7255454507625957,0.32083156111831246
NGC4258-QSOs,exponential,0.7537688442211056,0.7252577688589849,0.3212281440642152
NGC4258-QSOs,exponential,0.7587939698492463,0.7249758117775503,0.32161698774946956
NGC4258-QSOs,exponential,0.7638190954773869,0.7246994655952801,0.321998240282269
NGC4258-QSOs,exponential,0.7688442211055276,0.7244286186562112,0.3223720470494777
NGC4258-QSOs,exponential,0.7738693467336684,0.724163161526316,0.32273855076225344
NGC4258-QSOs,exponential,0.7788944723618091,0.7239029869492856,0.32309789150107804
NGC4258-QSOs,exponential,0.7839195979899498,0.723647989803194,0.3234502067601942
NGC4258-QSOs,exponential,0.7889447236180904,0.723398067058024,0.32379563149145274
NGC4258-QSOs,exponential,0.7939698492462312,0.7231531177340389,0.3241342981475677
NGC4258-QSOs,exponential,0.7989949748743719,0.7229130428609817,0.3244663367247848
NGC4258-QSOs,exponential,0.8040201005025126,0.7226777454380875,0.32479187480496174
NGC4258-QSOs,exponential,0.8090452261306533,0.72244713039489,0.3251110375970661
NGC4258-QSOs,exponential,0.8140703517587939,0.7222211045528097,0.3254239479780888
NGC4258-QSOs,exponential,0.8190954773869347,0.7219995765875056,0.32573072653338087
NGC4258-QSOs,exponential,0.8241206030150754,0.7217824569919757,0.32603149159641226
NGC4258-QSOs,exponential,0.8291457286432161,0.7215696580403924,0.3263263592879601
NGC4258-QSOs,exponential,0.8341708542713568,0.7213610937526578,0.32661544355472477
NGC4258-QSOs,exponential,0.8391959798994975,0.7211566798596631,0.32689885620738274
NGC4258-QSOs,exponential,0.8442211055276382,0.720956333769242,0.32717670695807527
NGC4258-QSOs,exponential,0.8492462311557789,0.720759974532797,0.32744910345734257
NGC4258-QSOs,exponential,0.8542713567839196,0.7205675228125957,0.32771615133050047
NGC4258-QSOs,exponential,0.8592964824120604,0.7203789008497126,0.32797795421347115
NGC4258-QSOs,exponential,0.864321608040201,0.7201940324326122,0.32823461378806695
NGC4258-QSOs,exponential,0.8693467336683417,0.7200128428663557,0.32848622981673614
NGC4258-QSOs,exponential,0.8743718592964824,0.7198352589424215,0.3287329001767714
NGC4258-QSOs,exponential,0.8793969849246231,0.7196612089091254,0.32897472089398927
NGC4258-QSOs,exponential,0.8844221105527639,0.7194906224426296,0.32921178617588454
NGC4258-QSOs,exponential,0.8894472361809045,0.7193234306185292,0.3294441884442627
NGC4258-QSOs,exponential,0.8944723618090452,0.7191595658840033,0.32967201836735965
NGC4258-QSOs,exponential,0.8994974874371859,0.7189989620305213,0.3298953648914491
NGC4258-QSOs,exponential,0.9045226130653267,0.718841554167091,0.3301143152719481
NGC4258-QSOs,exponential,0.9095477386934674,0.7186872786940403,0.3303289551040215
NGC4258-QSOs,exponential,0.914572864321608,0.7185360732773203,0.3305393683526936
NGC4258-QSOs,exponential,0.9195979899497487,0.718387876823319,0.33074563738247265
NGC4258-QSOs,exponential,0.9246231155778895,0.7182426294541773,0.33094784298649105
NGC4258-QSOs,exponential,0.9296482412060302,0.7181002724835954,0.3311460644151707
NGC4258-QSOs,exponential,0.9346733668341709,0.7179607483931214,0.3313403794044152
NGC4258-QSOs,exponential,0.9396984924623115,0.7178240008089111,0.3315308642033376
NGC4258-QSOs,exponential,0.9447236180904522,0.7176899744789499,0.33171759360152925
