idx,e_zsp,f_zsp,spCl,angDist
3694,2e-05,0,GALAXY,0.0
81197,2e-05,0,GALAXY,0.0
68995,2e-05,0,GALAXY,0.0
153605,1e-05,0,GALAXY,0.0
34708,3e-05,0,GALAXY,0.0
26941,,0,,0.0
122279,3e-05,0,GALAXY,0.0
150273,,0,,0.0
122266,3e-05,0,GALAXY,0.0
122254,,0,,0.0
69086,,0,,0.0
149037,1e-05,0,GALAXY,0.0
68232,,0,,0.0
68223,,0,,0.0
67374,2e-05,0,GALAXY,0.0
35539,2e-05,0,GALAXY,0.0
131233,1e-05,0,GALAXY,0.0
131276,1e-05,0,GALAXY,0.0
35138,2e-05,0,GALAXY,0.0
67765,1e-05,0,GALAXY,0.0
25559,3e-05,0,GALAXY,0.0
67740,3e-05,0,GALAXY,0.0
122876,3e-05,0,GALAXY,0.0
25352,3e-05,0,GALAXY,0.0
154405,1e-05,0,GALAXY,0.0
149954,1e-05,0,GALAXY,0.0
154410,2e-05,0,GALAXY,0.0
67658,3e-05,0,GALAXY,0.0
67635,3e-05,0,GALAXY,0.0
36038,4e-05,0,GALAXY,0.0
121454,2e-05,0,GALAXY,0.0
82785,2e-05,0,GALAXY,0.0
82800,,0,,0.0
154293,2e-05,0,GALAXY,0.0
25428,,0,,0.0
121371,2e-05,0,GALAXY,0.0
34082,3e-05,0,GALAXY,0.0
130406,1e-05,0,GALAXY,0.0
81808,,0,,0.0
68140,3e-05,0,GALAXY,0.0
25988,,0,,0.0
68070,2e-05,0,GALAXY,0.0
130496,2e-05,0,GALAXY,0.0
67385,1e-05,0,GALAXY,0.0
82250,1e-05,0,GALAXY,0.0
865,,0,,0.0
3650,2e-05,0,GALAXY,0.0
120833,1e-05,0,GALAXY,0.0
83067,1e-05,0,GALAXY,0.0
67533,1e-05,0,GALAXY,0.0
67487,2e-05,0,GALAXY,0.0
131152,,0,,0.0
25434,3e-05,0,GALAXY,0.0
67479,1e-05,0,GALAXY,0.0
154146,,0,,0.0
143965,,0,,0.0
126157,,0,,0.0
110939,2e-05,0,GALAXY,0.0
49190,,0,,0.0
47442,2e-05,0,GALAXY,0.0
143414,2e-05,0,GALAXY,0.0
110303,1e-05,0,GALAXY,0.0
13339,1e-05,0,GALAXY,0.0
143720,,0,,0.0
43760,,0,,0.0
141275,1e-05,0,GALAXY,0.0
106550,3e-05,0,GALAXY,0.0
51762,3e-05,0,GALAXY,0.0
140720,,0,,0.0
107373,1e-05,0,GALAXY,0.0
51225,2e-05,0,GALAXY,0.0
47066,2e-05,0,GALAXY,0.0
8903,,0,,0.0
14136,2e-05,0,GALAXY,0.0
53360,1e-05,0,GALAXY,0.0
138546,3e-05,0,GALAXY,0.0
51842,3e-05,0,GALAXY,0.0
102074,2e-05,0,GALAXY,0.0
9445,3e-05,0,GALAXY,0.0
46119,3e-05,0,GALAXY,0.0
51041,1e-05,0,GALAXY,0.0
6463,2e-05,0,GALAXY,0.0
142080,5e-05,0,GALAXY,0.0
44570,2e-05,0,GALAXY,0.0
13473,3e-05,0,GALAXY,0.0
102467,1e-05,0,GALAXY,0.0
15017,1e-05,0,GALAXY,0.0
11228,1e-05,0,GALAXY,0.0
6758,,0,,0.0
110924,4e-05,0,GALAXY,0.0
50582,2e-05,0,GALAXY,0.0
47521,,0,,0.0
14454,2e-05,0,GALAXY,0.0
6895,3e-05,0,GALAXY,0.0
107269,4e-05,0,GALAXY,0.0
10122,3e-05,0,GALAXY,0.0
160475,2e-05,0,GALAXY,0.0
107077,3e-05,0,GALAXY,0.0
109656,3e-05,0,GALAXY,0.0
9316,3e-05,0,GALAXY,0.0
105558,1e-05,0,GALAXY,0.0
102515,1e-05,0,GALAXY,0.0
111543,,0,,0.0
109636,3e-05,0,GALAXY,0.0
103159,1e-05,0,GALAXY,0.0
138871,1e-05,0,GALAXY,0.0
13159,2e-05,0,GALAXY,0.0
9321,1e-05,0,GALAXY,0.0
112493,3e-05,0,GALAXY,0.0
107275,,0,,0.0
109633,3e-05,0,GALAXY,0.0
46486,5e-05,0,GALAXY,0.0
162625,1e-05,0,GALAXY,0.0
44797,,0,,0.0
53667,2e-05,0,GALAXY,0.0
104883,,0,,0.0
160902,1e-05,0,GALAXY,0.0
51743,,0,,0.0
50163,4e-05,0,GALAXY,0.0
48847,,0,,0.0
9469,3e-05,0,GALAXY,0.0
3081,,0,,0.0
45664,1e-05,0,GALAXY,0.0
43937,2e-05,0,GALAXY,0.0
13367,3e-05,0,GALAXY,0.0
138372,2e-05,0,GALAXY,0.0
51296,,0,,0.0
13369,1e-05,0,GALAXY,0.0
140851,1e-05,0,GALAXY,0.0
107000,,0,,0.0
43918,,0,,0.0
142401,3e-05,0,GALAXY,0.0
162151,,0,,0.0
138355,2e-05,0,GALAXY,0.0
53192,2e-05,0,GALAXY,0.0
53050,1e-05,0,GALAXY,0.0
53057,1e-05,0,GALAXY,0.0
13658,1e-05,0,GALAXY,0.0
143526,1e-05,0,GALAXY,0.0
48642,,0,,0.0
144511,7e-05,4,GALAXY,0.0
105635,,0,,0.0
13770,2e-05,0,GALAXY,0.0
106499,2e-05,0,GALAXY,0.0
111714,1e-05,0,GALAXY,0.0
45295,,0,,0.0
43932,3e-05,0,GALAXY,0.0
49442,2e-05,0,GALAXY,0.0
